Он,Аймаг, Байршил,Сар,Амьтны төрөл,Гаралт,Өвчилсөн,Үхсэн
1996,Архангай,Хотонт,2сар,Үхэр ,1,1,1
1996,Архангай,Хотонт,3сар,Үхэр,2,2,2
1996,Архангай,Хотонт,3сар,Үхэр,2,3,3
1996,Архангай,Хашаат,5сар,Үхэр,1,6,6
1996,Баянхонгор ,Баянхонгор,6сар,Нохой,2,5,5
1996,Баянхонгор ,Баянхонгор,7сар,Үхэр,1,1,1
1996,Баянхонгор ,Баянхонгор,11сар,Нохой,1,6,6
1996,Дорнод,Баянтүмэн,3сар,Үхэр,2,2,0
1996,Дорнод,Баянтүмэн,3сар,Нохой,1,2,0
1996,Дорнод,Хүлэнбуйр,3сар,Үхэр,2,3,2
1996,Дорнод,Баянтүмэн,4сар,Үхэр,1,1,1
1996,Дорноговь,Алтанширээ,4сар,Үхэр,1,2,2
1996,Дорноговь,Алтанширээ,6сар,Үхэр,1,1,1
1996,Дундговь,Луус,3сар,Үхэр,1,1,1
1996,Говь-Алтай,Есөнбулаг,1сар,Үхэр,1,1,1
1996,Хэнтий,Баянхутаг,3сар,Үхэр,1,1,1
1996,Хэнтий,Норовлин,3сар,Үхэр,1,77,1
1996,Хэнтий,Цэнхэрмандал,3сар,Үхэр,1,1,1
1996,Хэнтий,Галшар,4сар,Үхэр,1,1,1
1996,Хэнтий,Галшар,12сар,Үхэр,1,2,2
1996,Ховд,Мөст,3сар,Тэмээ,1,2,2
1996,Ховд,Мөст,3сар,Адуу,1,4,4
1996,Ховд,Мөст,3сар,Үхэр,1,1,1
1996,Ховд,Дөргөн,4сар,Тэмээ,1,3,3
1996,Ховд,Ховд,4сар,Үхэр,1,1,1
1996,Ховд,Дуут,5сар,Үхэр,1,1,1
1996,Ховд,Мөст,6сар,Үхэр,1,1,1
1996,Хөвсгөл,Бүрэнтогтох,6сар,Үхэр,1,1,1
1996,Хөвсгөл,Мөрөн,7сар,Үхэр,1,1,1
1996,Хөвсгөл,Мөрөн,7сар,Хонь,1,4,4
1996,Өмнөговь,Цогт-Овоо,4сар,Тэмээ,1,1,1
1996,Өмнөговь,Ханхонгор,5сар,Хонь,1,4,0
1996,Өвөрхангай,Бүрд,3сар,Үхэр,1,6,6
1996,Өвөрхангай,Хайрхандулаан,3сар,Нохой,1,1,1
1996,Өвөрхангай,Хайрхандулаан,3сар,бусад,3,9,9
1996,Өвөрхангай,Хархорин,3сар,Үхэр,1,1,1
1996,Өвөрхангай,Гучин-Ус,6сар,Тэмээ,1,1,1
1996,Өвөрхангай,Өлзийт,6сар,Үхэр,1,1,1
1996,Өвөрхангай,Тарагт,6сар,Үхэр,1,6,6
1996,Өвөрхангай,Сант,9сар,Үхэр,1,2,2
1996,Сүхбаатар,Баяндэлгэр,1сар,Үхэр,1,1,1
1996,Сүхбаатар,Сүхбаатар,1сар,Үхэр,2,8,8
1996,Сүхбаатар,Баяндэлгэр,3сар,Үхэр,2,3,3
1996,Сүхбаатар,Наран,5сар,Үхэр,1,3,3
1996,Сүхбаатар,Сүхбаатар,9сар,Үхэр,1,1,1
1996,Төв,Баяндэлгэр,4сар,Үхэр,1,1,1
1996,Төв,Жаргалант,4сар,Нохой,1,1,1
1996,Төв,Эрдэнэ,4сар,Үхэр,1,1,1
1996,Төв,Эрдэнэ,4сар,Нохой,1,1,1
1996,Төв,Эрдэнэсант,4сар,Үхэр,1,2,2
1996,Төв,Зуунмод,4сар,Нохой,1,1,1
1996,Төв,Эрдэнэсант,11сар,Үхэр,2,5,5
1996,Улаанбаатар,Хан-Уул,9сар,Үхэр,1,2,2
1996,Улаанбаатар,Хан-Уул,9сар,Нохой,1,1,1
1996,Завхан,Сонгино,3сар,Үхэр,2,2,1
1997,Архангай,Хашаат,11сар,Үхэр,1,1,1
1997,Дорнод,Хэрлэн,2сар,Үхэр,2,4,4
1997,Говь-Алтай,Эрдэнэ,3сар,Тэмээ,1,1,1
1997,Говь-Алтай,Эрдэнэ,4сар,Нохой,1,1,1
1997,Хэнтий,Баянхутаг,3сар,Үхэр,1,1,1
1997,Ховд,Мөст,3сар,Тэмээ,2,2,2
1997,Өмнөговь,Гурвантэс,3сар,Тэмээ,3,5,4
1997,Өмнөговь,Номгон,3сар,Ямаа,1,1,0
1997,Өвөрхангай,Өлзийт,2сар,Үхэр,1,2,2
1997,Өвөрхангай,Зүүнбаян-Улаан,11сар,Үхэр,3,3,3
1997,Төв,Эрдэнэсант,1сар,Үхэр,1,3,3
1997,Төв,Эрдэнэсант,3сар,Үхэр,1,3,3
1997,Төв,Эрдэнэ,2сар,Нохой,1,1,1
1997,Улаанбаатар,Хан-Уул,3сар,Нохой,1,1,1
1997,Улаанбаатар,Хан-Уул,6сар,Нохой,2,2,2
1997,Улаанбаатар,Хан-Уул,12сар,Нохой,2,2,2
1997,Увс,Сагил,4сар,Үхэр,1,3,3
1997,Завхан,Идэр,3сар,Үхэр,1,1,1
1997,Завхан,Цагаанхайрхан,3сар,Үхэр,1,2,2
1997,Завхан,Сонгино,4сар,Үхэр,1,2,0
1997,Завхан,Цагаанхайрхан,6сар,Үхэр,2,2,2
1997,Завхан,Алдархаан,12сар,Үхэр,1,1,1
1998,Архангай,Эрдэнэмандал,3сар,Үхэр,2,2,2
1998,Архангай,Хашаат,5сар,Үхэр,1,3,3
1998,Архангай,Жаргалант,10сар,Үхэр,1,3,3
1998,Архангай,Эрдэнэмандал,10сар,Үхэр,3,4,4
1998,Булган,Сайхан,3сар,Үхэр,1,1,1
1998,Дорнод,Булган,3сар,Үхэр,1,1,1
1998,Ховд,Мөст,5сар,Тэмээ,1,1,1
1998,Ховд,Мөст,5сар,Үхэр,2,3,3
1998,Ховд,Мөст,5сар,Хонь,1,1,1
1998,Ховд,Мөст,5сар,Ямаа,2,2,2
1998,Ховд,Ховд,5сар,Үхэр,1,4,4
1998,Ховд,Мөст,6сар,Адуу,2,2,2
1998,Ховд,Мөст,11сар,Үхэр,2,4,4
1998,Ховд,Үенч,11сар,Тэмээ,1,1,1
1998,Ховд,Үенч,11сар,Үхэр,2,5,5
1998,Ховд,Үенч,11сар,Ямаа,1,1,1
1998,Хөвсгөл,Тариалан,2сар,Үхэр,1,2,2
1998,Хөвсгөл,Цагаан-Уул,2сар,Үхэр,1,3,3
1998,Хөвсгөл,Цагаан-Уул,3сар,Адуу,1,2,2
1998,Хөвсгөл,Цагаан-Уул,3сар,Нохой,4,4,4
1998,Хөвсгөл,Цэцэрлэг,5сар,Тэмээ,1,1,1
1998,Хөвсгөл,Цэцэрлэг,5сар,Адуу,3,3,3
1998,Хөвсгөл,Цэцэрлэг,5сар,Үхэр,8,8,8
1998,Хөвсгөл,Цэцэрлэг,5сар,Хонь,1,1,1
1998,Хөвсгөл,Цэцэрлэг,5сар,Нохой,3,3,3
1998,Хөвсгөл,Мөрөн,6сар,Нохой,2,2,2
1998,Хөвсгөл,Мөрөн,7сар,Нохой,7,7,7
1998,Хөвсгөл,Жаргалант,9сар,Үхэр,1,1,1
1998,Хөвсгөл,Цагаан-Уул,9сар,Үхэр,1,1,1
1998,Хөвсгөл,Цагаан-Уул,9сар,Ямаа,1,1,1
1998,Өмнөговь,Мандал-Овоо,3сар,Тэмээ,1,2,2
1998,Өмнөговь,Номгон,7сар,Тэмээ,1,1,1
1998,Өвөрхангай,Хужирт,1сар,Үхэр,2,2,2
1998,Өвөрхангай,Хужирт,1сар,Нохой,1,1,1
1998,Өвөрхангай,Хайрхандулаан,3сар,Үхэр,1,1,1
1998,Өвөрхангай,Арвайхээр,6сар,Үхэр,1,1,1
1998,Өвөрхангай,Арвайхээр,6сар,Ямаа,1,1,1
1998,Сүхбаатар,Баруун-Урт,4сар,Нохой,1,1,1
1999,Архангай,Эрдэнэмандал,2сар,Үхэр,3,4,4
1999,Архангай,Жаргалант,6сар,Адуу,1,4,0
1999,Архангай,Хашаат,6сар,Үхэр,3,3,3
